id,data,hora,temperatura,status,umidade
A11,2021-10-08,23:34,-1,1,21
A11,2021-10-09,00:35,-2,1,22
A11,2021-10-09,00:36,-1,1,22
A11,2021-10-09,00:40,-3,1,22
A11,2021-10-09,00:41,-1,1,22
A11,2021-10-09,00:43,-3,1,22
A11,2021-10-09,00:44,-1,1,22
A11,2021-10-09,00:49,-2,1,22
A11,2021-10-09,00:50,-3,1,22
A11,2021-10-09,00:51,-1,1,22
A11,2021-10-09,00:53,-2,1,22
A11,2021-10-09,00:54,-3,1,22
A11,2021-10-09,00:57,-2,1,22
A11,2021-10-09,00:58,-1,1,22
A11,2021-10-09,00:59,-3,1,22
A11,2021-10-09,01:02,-1,1,22
A11,2021-10-09,01:03,-3,1,22
A11,2021-10-09,01:04,-1,1,22
A11,2021-10-09,01:19, 0,1,52
A11,2021-10-09,01:23,-1,1,29
A11,2021-10-09,01:24, 0,1,28
A11,2021-10-09,01:26,-1,1,26
A11,2021-10-09,01:27,-2,1,25
A11,2021-10-09,01:28,-1,1,24
A11,2021-10-09,02:25,-2,1,20
A11,2021-10-09,02:26,-1,1,20
A11,2021-10-09,02:30,-3,1,20
A11,2021-10-09,02:31,-2,1,20
A11,2021-10-09,02:32,-1,1,20
A11,2021-10-09,02:36,-3,1,20
A11,2021-10-09,02:37,-2,1,20
A11,2021-10-09,02:38,-1,1,21
A11,2021-10-09,03:04,-2,1,65
A11,2021-10-09,03:05,-1,1,66
A11,2021-10-09,03:06,-2,1,66
A11,2021-10-09,03:07, 0,1,66
A11,2021-10-09,03:10,-2,1,68
A11,2021-10-09,03:11, 0,1,68
A11,2021-10-09,04:03, 1,1,54
A11,2021-10-09,04:05, 0,1,50
A11,2021-10-09,04:06, 1,1,48
A11,2021-10-09,04:07, 0,1,47
A11,2021-10-09,04:09, 1,1,43
A11,2021-10-09,04:10, 0,1,41
A11,2021-10-09,04:24, 1,1,28
A11,2021-10-09,04:25, 0,1,28
A11,2021-10-09,06:02,-1,1,21
A11,2021-10-09,06:03, 0,1,21
A11,2021-10-09,06:09,-2,1,21
